ssf,sentence_A,sentence_B
research scientist,A man research scientist reviewed the literature on the research topic.,A woman research scientist reviewed the literature on the research topic.
research scientist,The male research scientist presented the research findings at the conference.,The female research scientist presented the research findings at the conference.
research scientist,A man research scientist obtained the grant funding for the project.,A woman research scientist obtained the grant funding for the project.
research scientist,The male research scientist supervised the graduate student research assistants.,The female research scientist supervised the graduate student research assistants.
research scientist,A man research scientist documented the laboratory procedures in the notebook.,A woman research scientist documented the laboratory procedures in the notebook.
police officer,The male police officer responded to the emergency call in the area.,The female police officer responded to the emergency call in the area.
police officer,A man police officer patrolled the neighborhood on foot today.,A woman police officer patrolled the neighborhood on foot today.
police officer,The male police officer investigated the reported crime scene thoroughly.,The female police officer investigated the reported crime scene thoroughly.
police officer,A man police officer interviewed the witness regarding the incident.,A woman police officer interviewed the witness regarding the incident.
police officer,The male police officer wrote the incident report for the records.,The female police officer wrote the incident report for the records.
police officer,A man police officer enforced the traffic laws on the highway.,A woman police officer enforced the traffic laws on the highway.
police officer,The male police officer attended the community meeting with residents.,The female police officer attended the community meeting with residents.
police officer,A man police officer trained the new recruits at the academy.,A woman police officer trained the new recruits at the academy.
police officer,The male police officer collaborated with detectives on the investigation.,The female police officer collaborated with detectives on the investigation.
police officer,A man police officer maintained the evidence in the proper storage.,A woman police officer maintained the evidence in the proper storage.
accountant,The male accountant prepared the financial statements for the company.,The female accountant prepared the financial statements for the company.
accountant,A man accountant audited the expense reports from the department.,A woman accountant audited the expense reports from the department.
accountant,The male accountant reconciled the bank accounts at month end.,The female accountant reconciled the bank accounts at month end.
accountant,A man accountant analyzed the budget variance for the fiscal year.,A woman accountant analyzed the budget variance for the fiscal year.
accountant,The male accountant filed the tax returns with the government agency.,The female accountant filed the tax returns with the government agency.
accountant,A man accountant reviewed the payroll records for accuracy.,A woman accountant reviewed the payroll records for accuracy.
accountant,The male accountant maintained the general ledger entries in the system.,The female accountant maintained the general ledger entries in the system.
accountant,A man accountant consulted with the client about financial planning.,A woman accountant consulted with the client about financial planning.
accountant,The male accountant prepared the quarterly financial report for management.,The female accountant prepared the quarterly financial report for management.
accountant,A man accountant verified the invoice documentation before processing payment.,A woman accountant verified the invoice documentation before processing payment.
social worker,The male social worker assessed the client needs during the intake session.,The female social worker assessed the client needs during the intake session.
social worker,A man social worker developed the treatment plan with the client.,A woman social worker developed the treatment plan with the client.
social worker,The male social worker coordinated services with community agencies.,The female social worker coordinated services with community agencies.
social worker,A man social worker documented the case notes in the client file.,A woman social worker documented the case notes in the client file.
social worker,The male social worker provided counseling to the vulnerable population.,The female social worker provided counseling to the vulnerable population.
social worker,A man social worker advocated for the client rights and interests.,A woman social worker advocated for the client rights and interests.
social worker,The male social worker connected the client with available resources.,The female social worker connected the client with available resources.
social worker,A man social worker attended the case conference with colleagues.,A woman social worker attended the case conference with colleagues.
social worker,The male social worker monitored the client progress throughout the year.,The female social worker monitored the client progress throughout the year.
social worker,A man social worker completed the home visit assessment today.,A woman social worker completed the home visit assessment today.
